Week,Family,OCR
2,991,0.252432
2,991,4.093534884
2,991,3.056232558
2,183,5.150930233
2,183,5.682139535
2,183,2.671116279
2,3406,2.671116279
2,3406,5.434325581
2,3406,3.121953488
3,991,6.754186047
3,991,7.639534884
3,991,3.837348837
3,183,6.250186047
3,183,6.182790698
3,183,6.13172093
3,3406,6.332232558
3,3406,7.041767442
3,3406,6.194930233
4,991,9.845162791
4,991,
4,991,
4,183,1.03772093
4,183,3.347162791
4,183,4.618883721
4,3406,4.405813953
4,3406,3.890511628
4,3406,5.91655814
5,991,7.701069767
5,991,6.190744186
5,991,7.684744186
5,183,3.384
5,183,3.560651163
5,183,3.476930233
5,3406,5.625209302
5,3406,8.920883721
5,3406,5.337209302
6,991,4.089767442
6,991,4.742790698
6,991,4.211162791
6,183,5.081860465
6,183,3.851162791
6,183,5.533953488
6,3406,5.546511628
6,3406,6.475813953
6,3406,5.525581395
7,991,4.089767442
7,991,4.742790698
7,991,4.211162791
7,183,5.081860465
7,183,3.851162791
7,183,5.533953488
7,3406,5.546511628
7,3406,6.475813953
7,3406,5.525581395
8,991,2.97627907
8,991,3.976744186
8,991,3.43255814
8,183,5.30372093
8,183,3.834418605
8,183,4.696744186
8,3406,3.499534884
8,3406,4.102325581
8,3406,4.780465116
9,991,1.159534884
9,991,1.624186047
9,991,2.967906977
9,183,3.570697674
9,183,4.41627907
9,183,4.910232558
9,3406,4.851627907
9,3406,5.487906977
9,3406,
10,991,16.8655814
10,991,1.70372093
10,991,1.879534884
10,183,2.281395349
10,183,5.826976744
10,183,3.14372093
10,3406,1.913023256
10,3406,1.205581395
10,3406,
11,991,6.333488372
11,991,6.354418605
11,991,5.588372093
11,183,15.10325581
11,183,9.259534884
11,183,7.112093023
11,3406,
11,3406,
11,3406,
12,991,9.242790698
12,991,6.220465116
12,991,9.27627907
12,183,7.940930233
12,183,9.774418605
12,183,7.120465116
12,3406,
12,3406,
12,3406,
13,991,2.946976744
13,991,5.454418605
13,991,6.693488372
13,183,3.33627907
13,183,
13,183,
13,3406,
13,3406,
13,3406,
14,991,10.36465116
14,991,23.24511628
14,991,25.18744186
14,183,22.00604651
14,183,22.08139535
14,183,18.02093023
14,3406,
14,3406,
14,3406,
0,138,
0,138,5.577488372
0,138,4.876325581
0,363,2.005116279
0,363,6.033767442
0,363,3.621767442
0,3262,1.484372093
0,3262,4.863348837
0,3262,5.124976744
1,138,5.714790698
1,138,5.811488372
1,138,6.341023256
1,363,6.026651163
1,363,5.799348837
1,363,5.557395349
1,3262,6.900697674
1,3262,8.154837209
1,3262,13.81144186
1.25,138,3.106046512
1.25,138,1.502372093
1.25,138,1.691162791
1.25,363,3.149162791
1.25,363,2.853627907
1.25,363,4.33255814
1.25,3262,4.406651163
1.25,3262,4.219953488
1.25,3262,4.798465116
1.5,138,4.921116279
1.5,138,4.369395349
1.5,138,4.487023256
1.5,363,4.954186047
1.5,363,5.578325581
1.5,363,5.286139535
1.5,3262,5.407953488
1.5,3262,6.024976744
1.5,3262,6.723627907
2,138,5.229209302
2,138,5.229209302
2,138,6.969348837
2,363,5.829488372
2,363,6.491302326
2,363,6.08944186
2,3262,6.597627907
2,3262,6.444
2,3262,6.469953488
3,138,7.388372093
3,138,6.450697674
3,138,7.668837209
3,363,6.513488372
3,363,7.024186047
3,363,12.80930233
3,3262,6.061395349
3,3262,7.493023256
3,3262,5.458604651
4,138,5.621860465
4,138,6.433953488
4,138,6.38372093
4,363,7.539069767
4,363,7.861395349
4,363,7.493023256
4,3262,8.535348837
4,3262,14.19488372
4,3262,8.422325581
5,138,4.960465116
5,138,4.006046512
5,138,5.266046512
5,363,5.333023256
5,363,4.290697674
5,363,5.492093023
5,3262,4.504186047
5,3262,5.420930233
5,3262,7.329767442
6,138,5.165581395
6,138,
6,138,
6,363,5.425116279
6,363,5.312093023
6,363,6.613953488
6,3262,6.538604651
6,3262,6.739534884
6,3262,6.860930233
7,138,
7,138,
7,138,
7,363,1.603255814
7,363,17.07906977
7,363,2.264651163
7,3262,1.81255814
7,3262,2.013488372
7,3262,1.737209302
8,138,
8,138,
8,138,
8,363,9.146511628
8,363,8.62744186
8,363,6.450697674
8,3262,5.278604651
8,3262,4.32
8,3262,2.854883721
9,138,
9,138,
9,138,
9,363,6.948837209
9,363,6.609767442
9,363,8.062325581
9,3262,10.14697674
9,3262,8.26744186
9,3262,8.610697674
10,138,
10,138,
10,138,
10,363,2.42372093
10,363,2.486511628
10,363,0.916744186
10,3262,3.348837209
10,3262,2.670697674
10,3262,3.394883721
11,138,
11,138,
11,138,
11,363,30.60418605
11,363,27.53162791
11,363,28.65767442
11,3262,34.02837209
11,3262,28.94651163
11,3262,21.90976744
12,138,
12,138,
12,138,
12,363,
12,363,
12,363,
12,3262,6.655813953
12,3262,5.684651163
12,3262,8.053953488
13,138,
13,138,
13,138,
13,363,6.835813953
13,363,5.84372093
13,363,9.841395349
13,3262,4.671627907
13,3262,4.650697674
13,3262,2.825581395
